coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized
OMG Network,OMG,4.11,0.019,0.016,0.081,106689838.0,574825195.0,2022-03-16,9.971548330387113e-05,0.0018415447474944028,0.0006559885463122727
Zilliqa,ZIL,0.041008132304,0.033,0.032,0.047,37965285.0,571307984.0,2022-03-16,9.949259332314218e-07,0.0006553086262899569,0.0006514561260243283
SafeMoon,SFM,0.001028389235,0.038,-0.034,-0.088,406894.0,566255393.0,2022-03-16,2.49504091610152e-08,7.02328846433329e-06,0.0006449451529962428
Render Token,RNDR,2.43,0.024,0.035,-0.031,23720000.0,560228533.0,2022-03-16,5.895586967589284e-05,0.0004094245734122048,0.0006371786975471381
Fei USD,FEI,1.0,0.001,0.0,0.003,10254055.0,557210659.0,2022-03-16,2.4261674742554178e-05,0.00017699249975211995,0.0006332897431045243
Gnosis,GNO,298.83,0.021,0.025,-0.003,2883611.0,553256284.0,2022-03-16,0.007250116274040633,4.977323792418808e-05,0.0006281939756125711
ICON,ICX,0.753601,0.026,-0.013,0.21,45059623.0,549632622.0,2022-03-16,1.828362233879214e-05,0.000777762096327562,0.0006235243782624396
Ravencoin,RVN,0.051804162049,0.027,0.042,0.006,19390191.0,538520749.0,2022-03-16,1.2568556958042556e-06,0.0003346888987586919,0.000609205169485297
IOST,IOST,0.022568760363,0.025,0.011,0.015,35343794.0,517770891.0,2022-03-16,5.475558880780025e-07,0.0006100597715522277,0.0005824660635939626
Bitcoin Gold,BTG,29.74,0.018,0.0279999999999999,0.032,9146317.0,517358240.0,2022-03-16,0.0007215422078783256,0.0001578721305235159,0.0005819343048327621
Kava,KAVA,3.16,0.023,0.035,0.034,22753924.0,504959645.0,2022-03-16,7.666689226424055e-05,0.0003927493940621302,0.0005659569740669915
UMA,UMA,7.74,0.018,0.018,-0.016,46067620.0,503487995.0,2022-03-16,0.0001877853627500385,0.0007951608628421397,0.0005640605463813186
OEC Token,OKT,32.27,0.023,0.01,-0.062,5163788.0,488521386.0,2022-03-16,0.0007829242450680786,8.913076303082049e-05,0.0005447739689558152
Songbird,SGB,0.062799688152,0.022,0.006,-0.1369999999999999,2629530.0,486741272.0,2022-03-16,1.5236255741343925e-06,4.5387613765792365e-05,0.0005424800420892002
e-Radix,EXRD,0.122181,0.022,0.063,0.004,2588295.0,484119330.0,2022-03-16,2.964315650114731e-06,4.4675867463741255e-05,0.0005391013016284733
Velas,VLX,0.213154,-0.0,0.004,-0.037,4105033.0,483094532.0,2022-03-16,5.171472989744534e-06,7.085587625919153e-05,0.0005377807054952744
Rocket Pool,RPL,30.03,0.024,0.0409999999999999,0.15,578038.0,480593962.0,2022-03-16,0.0007285780935641075,9.977359256578585e-06,0.0005345583699005587
Tether Gold,XAUT,1950.12,0.003,-0.002,-0.044,3689853.0,480346972.0,2022-03-16,0.0473131772191265,6.368956536588297e-05,0.0005342400886012795
Moonbeam,GLMR,2.38,0.023,0.038,-0.036,37324761.0,476681084.0,2022-03-16,5.7742785936964906e-05,0.0006442527129063027,0.0005295160771204408
