coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized,liquidity_ratio,volatility_score,avg_abs_change,turnover_rate,market_dominance,momentum_short,momentum_medium,momentum_long,momentum_consistency,liquidity_class
cDAI,CDAI,0.021895790224,-0.001,0.0,-0.0,93.89,1942222665.0,2022-03-16,5.312285054299033e-07,1.6206101685359151e-09,0.0024180722071196,4.834152216012782e-08,0.0005773502691896258,0.0003333333333333333,1.6206101685359151e-09,0.05171944719356288,-0.001,0.0,-0.0,0,Low
Flow,FLOW,5.43,0.017,0.023,-0.053,57457444.0,1923544184.0,2022-03-16,0.0001317408940115,0.0009917575674138,0.0023940023613718,0.029870613047482772,0.042253205006642196,0.031,0.000991757567413813,0.051222057924482624,0.017,0.023,-0.053,0,Medium
Theta Fuel,TFUEL,0.162482,0.024,0.0069999999999999,0.064,16105407.0,1886178774.0,2022-03-16,3.942085405365417e-06,0.0002779911210204,0.0023458517834419,0.008538642901725286,0.029263173671584833,0.031666666666666635,0.0002779911210204442,0.050227054424530765,0.024,0.0069999999999999,0.064,1,Low
Aave,AAVE,137.44,0.037,0.131,0.129,282336331.0,1862097786.0,2022-03-16,0.003334524581529,0.0048733318667134,0.0023148200487621,0.15162271988223072,0.05370288632839021,0.09900000000000002,0.004873331866713408,0.04958580179697232,0.037,0.131,0.129,1,High
Zcash,ZEC,148.94,0.02,0.065,0.075,276825707.0,1801878133.0,2022-03-16,0.0036135338414824,0.0047782144602869,0.0022372185693541,0.1536317589575854,0.02929732638541158,0.05333333333333334,0.004778214460286973,0.047982212661970544,0.02,0.065,0.075,1,High
Maker,MKR,1982.58,0.0289999999999999,0.071,0.129,92847731.0,1772467945.0,2022-03-16,0.0481007111824385,0.0016026198421992,0.0021993194121061,0.052383306147745314,0.05021288015373484,0.0763333333333333,0.0016026198421992472,0.047199048768031146,0.0289999999999999,0.071,0.129,1,Medium
JUNO,JUNO,38.35,0.018,0.096,-0.03,11491328.0,1747597737.0,2022-03-16,0.0009304352277217,0.0001983487379569,0.0021672706566278,0.006575499473767057,0.06359245238233859,0.04800000000000001,0.0001983487379569867,0.046536780001154764,0.018,0.096,-0.03,0,Low
Gala,GALA,0.227781,0.026,0.047,0.037,551763058.0,1714837250.0,2022-03-16,5.5263485067305095e-06,0.0095238345129116,0.0021250541686429,0.3217582648149263,0.010503967504392487,0.03666666666666666,0.00952383451291162,0.045664400995407806,0.026,0.047,0.037,1,High
BitTorrent,BTT,1.812224e-06,0.0069999999999999,0.022,0.003,87836205.0,1675881629.0,2022-03-16,4.393158498852703e-11,0.0015161172328107,0.0020748543805296,0.05241193857612243,0.01001665280087783,0.010666666666666635,0.0015161172328107912,0.044627051766861985,0.0069999999999999,0.022,0.003,1,Medium
Arweave,AR,32.52,-0.003,0.074,0.002,50636342.0,1637697784.0,2022-03-16,0.0007889896637627,0.0008740203508644,0.0020256491341711,0.03091922239543068,0.043085186936270024,0.026333333333333334,0.0008740203508644396,0.04361025416135948,-0.003,0.074,0.002,0,Medium
Huobi BTC,HBTC,41217.27,0.026,0.039,0.068,190002.0,1637583015.0,2022-03-16,1.0,3.279573684547459e-06,0.0020255012381978,0.00011602587365624331,0.02150193789716019,0.044333333333333336,3.279573684547459e-06,0.04360719797766751,0.026,0.039,0.068,1,Low
PancakeSwap,CAKE,5.57,0.026,0.01,-0.068,104112686.0,1530696417.0,2022-03-16,0.0001351375284805,0.0017970612163722,0.0018877628468177,0.06801654779074327,0.05029247790011279,0.03466666666666667,0.00179706121637221,0.040760914767930284,0.026,0.01,-0.068,0,Medium
Quant,QNT,112.58,0.018,0.003,0.013,23727064.0,1505335556.0,2022-03-16,0.0027313793465341,0.0004095465032261,0.0018550818160475,0.01576197672700159,0.007637626158259732,0.011333333333333332,0.0004095465032261417,0.04008558040235548,0.018,0.003,0.013,1,Medium
Harmony,ONE,0.127445,0.025,0.017,-0.012,75144435.0,1499937034.0,2022-03-16,3.092029106149063e-06,0.0012970479866853,0.0018481250623476,0.0500983929969423,0.019467922333931784,0.018000000000000002,0.0012970479866853352,0.03994182316044198,0.025,0.017,-0.012,0,Medium
eCash,XEC,7.9294818e-05,0.019,-0.005,0.144,37446216.0,1497455570.0,2022-03-16,1.9237890816156153e-09,0.0006463491151644,0.0018449273475169,0.025006562298205616,0.0800020833062073,0.055999999999999994,0.0006463491151644721,0.0398757442557811,0.019,-0.005,0.144,0,Medium
Bitcoin SV,BSV,77.11,0.013,0.015,-0.019,135219354.0,1461042552.0,2022-03-16,0.0018708177421386,0.0023339850897354,0.0017980040604214,0.0925499081562684,0.019078784028338912,0.015666666666666666,0.002333985089735409,0.038906102002322356,0.013,0.015,-0.019,0,High
NEO,NEO,20.13,0.024,0.0279999999999999,-0.017,148274906.0,1406977569.0,2022-03-16,0.0004883875132563,0.0025593334796283,0.0017283337375955,0.10538540859992915,0.02490649179096349,0.022999999999999965,0.0025593334796283626,0.03746640557426663,0.024,0.0279999999999999,-0.017,0,High
